aaa	ssss
0-ddddd	ffffffffffffffffffff
3-ddddd	ffffffffffffffffffff
4-ddddd	ffffffffffffffffffff
1-ddddd	ffffffffffffffffffff
5-ddddd	ffffffffffffffffffff
7-ddddd	ffffffffffffffffffff
8-ddddd	ffffffffffffffffffff
9-ddddd	ffffffffffffffffffff
10-ddddd	ffffffffffffffffffff
12-ddddd	ffffffffffffffffffff
11-ddddd	ffffffffffffffffffff
13-ddddd	ffffffffffffffffffff
14-ddddd	ffffffffffffffffffff
15-ddddd	ffffffffffffffffffff
16-ddddd	ffffffffffffffffffff
17-ddddd	ffffffffffffffffffff
18-ddddd	ffffffffffffffffffff
19-ddddd	ffffffffffffffffffff
20-ddddd	ffffffffffffffffffff
21-ddddd	ffffffffffffffffffff
24-ddddd	ffffffffffffffffffff
25-ddddd	ffffffffffffffffffff
26-ddddd	ffffffffffffffffffff
22-ddddd	ffffffffffffffffffff
23-ddddd	ffffffffffffffffffff
27-ddddd	ffffffffffffffffffff
28-ddddd	ffffffffffffffffffff
29-ddddd	ffffffffffffffffffff
30-ddddd	ffffffffffffffffffff
31-ddddd	ffffffffffffffffffff
34-ddddd	ffffffffffffffffffff
35-ddddd	ffffffffffffffffffff
33-ddddd	ffffffffffffffffffff
32-ddddd	ffffffffffffffffffff
37-ddddd	ffffffffffffffffffff
38-ddddd	ffffffffffffffffffff
36-ddddd	ffffffffffffffffffff
40-ddddd	ffffffffffffffffffff
39-ddddd	ffffffffffffffffffff
41-ddddd	ffffffffffffffffffff
42-ddddd	ffffffffffffffffffff
43-ddddd	ffffffffffffffffffff
44-ddddd	ffffffffffffffffffff
46-ddddd	ffffffffffffffffffff
45-ddddd	ffffffffffffffffffff
47-ddddd	ffffffffffffffffffff
48-ddddd	ffffffffffffffffffff
49-ddddd	ffffffffffffffffffff
50-ddddd	ffffffffffffffffffff
51-ddddd	ffffffffffffffffffff
52-ddddd	ffffffffffffffffffff
53-ddddd	ffffffffffffffffffff
54-ddddd	ffffffffffffffffffff
55-ddddd	ffffffffffffffffffff
56-ddddd	ffffffffffffffffffff
57-ddddd	ffffffffffffffffffff
58-ddddd	ffffffffffffffffffff
59-ddddd	ffffffffffffffffffff
60-ddddd	ffffffffffffffffffff
